<date:hour:url>,Total Event_count
2019-09-12:00:http://example.com/?url=001,3
2019-09-12:00:http://example.com/?url=002,3
2019-09-12:00:http://example.com/?url=003,2
2019-09-12:00:http://example.com/?url=004,2
2019-09-12:00:http://example.com/?url=005,2
2019-09-12:00:http://example.com/?url=006,2
2019-09-12:00:http://example.com/?url=007,1
2019-09-12:00:http://example.com/?url=009,7
2019-09-12:00:http://example.com/?url=010,4
2019-09-12:00:http://example.com/?url=011,2
2019-09-12:00:http://example.com/?url=012,1
2019-09-12:00:http://example.com/?url=013,4
2019-09-12:00:http://example.com/?url=014,2
2019-09-12:00:http://example.com/?url=015,5
2019-09-12:00:http://example.com/?url=016,3
2019-09-12:00:http://example.com/?url=017,5
2019-09-12:00:http://example.com/?url=018,4
2019-09-12:00:http://example.com/?url=019,5
2019-09-12:00:http://example.com/?url=020,2
2019-09-12:00:http://example.com/?url=021,1
2019-09-12:00:http://example.com/?url=022,1
2019-09-12:00:http://example.com/?url=023,1
2019-09-12:00:http://example.com/?url=024,3
2019-09-12:00:http://example.com/?url=025,4
2019-09-12:00:http://example.com/?url=026,1
2019-09-12:00:http://example.com/?url=028,6
2019-09-12:00:http://example.com/?url=029,2
2019-09-12:00:http://example.com/?url=030,3
2019-09-12:00:http://example.com/?url=031,2
2019-09-12:00:http://example.com/?url=032,2
2019-09-12:00:http://example.com/?url=033,1
2019-09-12:00:http://example.com/?url=034,5
2019-09-12:00:http://example.com/?url=035,4
2019-09-12:00:http://example.com/?url=036,1
2019-09-12:00:http://example.com/?url=037,2
2019-09-12:00:http://example.com/?url=038,5
2019-09-12:00:http://example.com/?url=039,3
2019-09-12:00:http://example.com/?url=040,4
2019-09-12:00:http://example.com/?url=041,3
2019-09-12:00:http://example.com/?url=042,6
2019-09-12:00:http://example.com/?url=043,2
2019-09-12:00:http://example.com/?url=044,3
2019-09-12:00:http://example.com/?url=045,5
2019-09-12:00:http://example.com/?url=046,5
2019-09-12:00:http://example.com/?url=047,5
2019-09-12:00:http://example.com/?url=048,3
2019-09-12:00:http://example.com/?url=049,3
2019-09-12:00:http://example.com/?url=050,4
2019-09-12:00:http://example.com/?url=051,3
2019-09-12:00:http://example.com/?url=052,1
2019-09-12:00:http://example.com/?url=053,5
2019-09-12:00:http://example.com/?url=054,1
2019-09-12:00:http://example.com/?url=055,2
2019-09-12:00:http://example.com/?url=056,3
2019-09-12:00:http://example.com/?url=057,2
2019-09-12:00:http://example.com/?url=058,2
2019-09-12:00:http://example.com/?url=059,5
2019-09-12:00:http://example.com/?url=060,1
2019-09-12:00:http://example.com/?url=062,6
2019-09-12:00:http://example.com/?url=063,3
2019-09-12:00:http://example.com/?url=064,6
2019-09-12:00:http://example.com/?url=065,3
2019-09-12:00:http://example.com/?url=067,2
2019-09-12:00:http://example.com/?url=069,3
2019-09-12:00:http://example.com/?url=070,4
2019-09-12:00:http://example.com/?url=071,6
2019-09-12:00:http://example.com/?url=072,2
2019-09-12:00:http://example.com/?url=074,2
2019-09-12:00:http://example.com/?url=075,2
2019-09-12:00:http://example.com/?url=076,1
2019-09-12:00:http://example.com/?url=077,3
2019-09-12:00:http://example.com/?url=078,5
2019-09-12:00:http://example.com/?url=079,2
2019-09-12:00:http://example.com/?url=080,4
2019-09-12:00:http://example.com/?url=082,2
2019-09-12:00:http://example.com/?url=083,5
2019-09-12:00:http://example.com/?url=084,5
2019-09-12:00:http://example.com/?url=085,4
2019-09-12:00:http://example.com/?url=086,3
2019-09-12:00:http://example.com/?url=087,1
2019-09-12:00:http://example.com/?url=088,4
2019-09-12:00:http://example.com/?url=089,7
2019-09-12:00:http://example.com/?url=090,1
2019-09-12:00:http://example.com/?url=091,3
2019-09-12:00:http://example.com/?url=092,1
2019-09-12:00:http://example.com/?url=093,5
2019-09-12:00:http://example.com/?url=094,4
2019-09-12:00:http://example.com/?url=095,7
2019-09-12:00:http://example.com/?url=096,4
2019-09-12:00:http://example.com/?url=097,2
2019-09-12:00:http://example.com/?url=098,3
2019-09-12:00:http://example.com/?url=100,3
2019-09-12:00:http://example.com/?url=101,8
2019-09-12:00:http://example.com/?url=102,4
2019-09-12:00:http://example.com/?url=103,5
2019-09-12:00:http://example.com/?url=104,2
2019-09-12:00:http://example.com/?url=105,5
2019-09-12:00:http://example.com/?url=106,1
2019-09-12:00:http://example.com/?url=107,3
2019-09-12:00:http://example.com/?url=108,1
2019-09-12:00:http://example.com/?url=109,5
2019-09-12:00:http://example.com/?url=110,3
2019-09-12:00:http://example.com/?url=111,3
2019-09-12:00:http://example.com/?url=112,3
2019-09-12:00:http://example.com/?url=113,1
2019-09-12:00:http://example.com/?url=114,2
2019-09-12:00:http://example.com/?url=115,3
2019-09-12:00:http://example.com/?url=116,2
2019-09-12:00:http://example.com/?url=117,4
2019-09-12:00:http://example.com/?url=118,2
2019-09-12:00:http://example.com/?url=119,4
2019-09-12:00:http://example.com/?url=120,4
2019-09-12:00:http://example.com/?url=121,2
2019-09-12:00:http://example.com/?url=122,4
2019-09-12:00:http://example.com/?url=123,2
2019-09-12:00:http://example.com/?url=124,2
2019-09-12:00:http://example.com/?url=125,3
2019-09-12:00:http://example.com/?url=126,2
2019-09-12:00:http://example.com/?url=128,4
2019-09-12:00:http://example.com/?url=129,3
2019-09-12:00:http://example.com/?url=130,1
2019-09-12:00:http://example.com/?url=131,3
2019-09-12:00:http://example.com/?url=132,3
2019-09-12:00:http://example.com/?url=133,2
2019-09-12:00:http://example.com/?url=134,6
2019-09-12:00:http://example.com/?url=135,3
2019-09-12:00:http://example.com/?url=136,1
2019-09-12:00:http://example.com/?url=137,5
2019-09-12:00:http://example.com/?url=138,2
2019-09-12:00:http://example.com/?url=139,4
2019-09-12:00:http://example.com/?url=141,1
2019-09-12:00:http://example.com/?url=142,2
2019-09-12:00:http://example.com/?url=143,3
2019-09-12:00:http://example.com/?url=144,2
2019-09-12:00:http://example.com/?url=145,2
2019-09-12:00:http://example.com/?url=146,4
2019-09-12:00:http://example.com/?url=148,3
2019-09-12:00:http://example.com/?url=149,3
2019-09-12:00:http://example.com/?url=150,3
2019-09-12:00:http://example.com/?url=151,4
2019-09-12:00:http://example.com/?url=152,2
2019-09-12:00:http://example.com/?url=153,2
2019-09-12:00:http://example.com/?url=154,5
2019-09-12:00:http://example.com/?url=155,1
2019-09-12:00:http://example.com/?url=156,6
2019-09-12:00:http://example.com/?url=157,1
2019-09-12:00:http://example.com/?url=158,3
2019-09-12:00:http://example.com/?url=159,4
2019-09-12:00:http://example.com/?url=160,2
2019-09-12:00:http://example.com/?url=161,1
2019-09-12:00:http://example.com/?url=162,3
2019-09-12:00:http://example.com/?url=163,3
2019-09-12:00:http://example.com/?url=164,3
2019-09-12:00:http://example.com/?url=165,2
2019-09-12:00:http://example.com/?url=166,2
2019-09-12:00:http://example.com/?url=167,3
