<date_hour>,<url_count>
2019-09-12:0,183
2019-09-12:1,188
2019-09-12:10,188
2019-09-12:11,188
2019-09-12:12,186
2019-09-12:13,185
2019-09-12:14,186
2019-09-12:15,185
2019-09-12:16,190
2019-09-12:17,189
2019-09-12:18,189
2019-09-12:19,191
2019-09-12:2,186
2019-09-12:20,189
2019-09-12:21,183
2019-09-12:22,186
2019-09-12:23,184
2019-09-12:3,191
2019-09-12:4,184
2019-09-12:5,182
2019-09-12:6,189
2019-09-12:7,185
2019-09-12:8,188
2019-09-12:9,190
2019-09-13:0,189
2019-09-13:1,183
2019-09-13:10,187
2019-09-13:11,189
2019-09-13:12,190
2019-09-13:13,187
2019-09-13:14,186
2019-09-13:15,186
2019-09-13:16,187
2019-09-13:17,185
2019-09-13:18,186
2019-09-13:19,186
2019-09-13:2,186
2019-09-13:20,184
2019-09-13:21,187
2019-09-13:22,190
2019-09-13:23,187
2019-09-13:3,189
2019-09-13:4,190
2019-09-13:5,181
2019-09-13:6,184
2019-09-13:7,189
2019-09-13:8,177
2019-09-13:9,190
2019-09-14:0,186
2019-09-14:1,181
2019-09-14:10,183
2019-09-14:11,186
2019-09-14:12,187
2019-09-14:13,188
2019-09-14:14,181
2019-09-14:15,188
2019-09-14:16,186
2019-09-14:17,183
2019-09-14:18,183
2019-09-14:19,188
2019-09-14:2,185
2019-09-14:20,182
2019-09-14:21,186
2019-09-14:22,187
2019-09-14:23,186
2019-09-14:3,189
2019-09-14:4,187
2019-09-14:5,187
2019-09-14:6,184
2019-09-14:7,187
2019-09-14:8,189
2019-09-14:9,184
2019-09-15:0,4
