24 Oct 2019 22:34:09,293 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider.start:62)  - Configuration provider starting
24 Oct 2019 22:34:09,301 INFO  [conf-file-poller-0] (org.apache.flume.node.PollingPropertiesFileConfigurationProvider$FileWatcherRunnable.run:138)  - Reloading configuration file:/dockershared/flume-conf-filesink.properties
24 Oct 2019 22:34:09,314 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,315 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,316 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,317 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:fc
24 Oct 2019 22:34:09,317 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:fc
24 Oct 2019 22:34:09,318 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:loggerSink
24 Oct 2019 22:34:09,318 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,319 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addProperty:1117)  - Added sinks: filesink Agent: a1
24 Oct 2019 22:34:09,319 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:fc
24 Oct 2019 22:34:09,320 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,330 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,330 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,331 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:fc
24 Oct 2019 22:34:09,332 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,334 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,335 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,336 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:r1
24 Oct 2019 22:34:09,336 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:fc
24 Oct 2019 22:34:09,337 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:loggerSink
24 Oct 2019 22:34:09,337 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,338 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,338 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.addComponentConfig:1203)  - Processing:filesink
24 Oct 2019 22:34:09,339 WARN  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration$AgentConfiguration.validateConfigFilterSet:623)  - Agent configuration for 'a1' has no configfilters.
24 Oct 2019 22:34:09,355 INFO  [conf-file-poller-0] (org.apache.flume.conf.FlumeConfiguration.validateConfiguration:163)  - Post-validation flume configuration contains configuration for agents: [a1]
24 Oct 2019 22:34:09,356 INFO  [conf-file-poller-0] (org.apache.flume.node.AbstractConfigurationProvider.loadChannels:151)  - Creating channels
24 Oct 2019 22:34:09,364 INFO  [conf-file-poller-0] (org.apache.flume.channel.DefaultChannelFactory.create:42)  - Creating instance of channel fc type file
24 Oct 2019 22:34:09,402 INFO  [conf-file-poller-0] (org.apache.flume.node.AbstractConfigurationProvider.loadChannels:205)  - Created channel fc
24 Oct 2019 22:34:09,404 INFO  [conf-file-poller-0] (org.apache.flume.source.DefaultSourceFactory.create:41)  - Creating instance of source r1, type exec
24 Oct 2019 22:34:09,424 INFO  [conf-file-poller-0] (org.apache.flume.sink.DefaultSinkFactory.create:42)  - Creating instance of sink: filesink, type: file_roll
24 Oct 2019 22:34:09,431 INFO  [conf-file-poller-0] (org.apache.flume.node.AbstractConfigurationProvider.getConfiguration:120)  - Channel fc connected to [r1, filesink]
24 Oct 2019 22:34:09,438 INFO  [conf-file-poller-0] (org.apache.flume.node.Application.startAllComponents:162)  - Starting new configuration:{ sourceRunners:{r1=EventDrivenSourceRunner: { source:org.apache.flume.source.ExecSource{name:r1,state:IDLE} }} sinkRunners:{filesink=SinkRunner: { policy:org.apache.flume.sink.DefaultSinkProcessor@ce6d0c4 counterGroup:{ name:null counters:{} } }} channels:{fc=FileChannel fc { dataDirs: [/dockershared/flume_data] }} }
24 Oct 2019 22:34:09,439 INFO  [conf-file-poller-0] (org.apache.flume.node.Application.startAllComponents:169)  - Starting Channel fc
24 Oct 2019 22:34:09,440 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.channel.file.FileChannel.start:278)  - Starting FileChannel fc { dataDirs: [/dockershared/flume_data] }...
24 Oct 2019 22:34:09,493 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.instrumentation.MonitoredCounterGroup.register:119)  - Monitored counter group for type: CHANNEL, name: fc: Successfully registered new MBean.
24 Oct 2019 22:34:09,494 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.instrumentation.MonitoredCounterGroup.start:95)  - Component type: CHANNEL, name: fc started
24 Oct 2019 22:34:09,513 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.channel.file.Log.<init>:356)  - Encryption is not enabled
24 Oct 2019 22:34:09,514 INFO  [lifecycleSupervisor-1-0] (org.apache.flume.channel.file.Log.replay:406)  - Replay started
